time,x,y,z,microwave_val
0,0,0,1,6.12303e-17
0.001,0.001,-1.30349e-06,1,-0.00999983
0.002,0.00199999,-5.40485e-06,1,-0.0199987
0.003,0.003,-2.41041e-06,0.999999,-0.0299955
0.004,0.004,1.69462e-05,1.00001,-0.0399893
0.005,0.00500003,1.63185e-05,1.00001,-0.0499792
0.006,0.00600002,1.93642e-05,1,-0.059964
0.007,0.00700007,5.06568e-06,0.999996,-0.0699428
0.008,0.00800003,-2.18238e-05,0.999989,-0.0799147
0.009,0.00900002,-1.85605e-05,0.999981,-0.0898785
0.01,0.01,5.98833e-06,0.999971,-0.0998334
0.011,0.011,1.89548e-05,0.999962,-0.109778
0.012,0.0119999,7.77015e-06,0.999951,-0.119712
0.013,0.0129998,3.1574e-05,0.999937,-0.129634
0.014,0.0139999,1.61668e-06,0.999928,-0.139543
0.015,0.0149998,3.54726e-05,0.999914,-0.149438
0.016,0.0159997,1.33702e-05,0.999901,-0.159318
0.017,0.0169996,4.7873e-05,0.999885,-0.169182
0.018,0.0179995,2.59741e-05,0.999868,-0.17903
0.019,0.0189993,3.01265e-05,0.999848,-0.188859
0.02,0.0199992,1.82914e-05,0.999829,-0.198669
0.021,0.0209988,0.000118316,0.999812,-0.20846
0.022,0.021999,3.12045e-05,0.999798,-0.21823
0.023,0.0229989,-9.30238e-06,0.999777,-0.227978
0.024,0.0239986,4.60924e-05,0.999753,-0.237703
0.025,0.0249983,7.17032e-05,0.999729,-0.247404
0.026,0.0259976,0.000163331,0.999706,-0.257081
0.027,0.0269969,0.000218922,0.999679,-0.266731
0.028,0.0279935,0.000468245,0.999652,-0.276356
0.029,0.0289942,0.000402682,0.999626,-0.285952
0.03,0.029994,0.00038535,0.999596,-0.29552
0.031,0.0309917,0.000521847,0.999569,-0.305059
0.032,0.0319918,0.000489454,0.99954,-0.314567
0.033,0.0329904,0.000552475,0.999509,-0.324043
0.034,0.0339901,0.000541927,0.999478,-0.333487
0.035,0.0349902,0.000505166,0.999445,-0.342898
0.036,0.0359874,0.000651464,0.999413,-0.352274
0.037,0.0369845,0.000766401,0.999376,-0.361615
0.038,0.0379822,0.000843391,0.999339,-0.37092
0.039,0.0389801,0.000901993,0.999298,-0.380188
0.04,0.0399806,0.000848255,0.999259,-0.389418
0.041,0.0409821,0.000755091,0.999231,-0.398609
0.042,0.0419805,0.000810534,0.999194,-0.40776
0.043,0.0429821,0.000669709,0.999151,-0.416871
0.044,0.0439848,0.000408941,0.999113,-0.425939
0.045,0.0449847,0.000296734,0.999069,-0.434966
0.046,0.0459845,0.000211604,0.999028,-0.443948
0.047,0.0469839,9.20782e-05,0.998982,-0.452886
0.048,0.0479831,0.000103049,0.998941,-0.461779
0.049,0.0489819,0.000171821,0.998894,-0.470626
0.05,0.0499808,0.000152349,0.998844,-0.479426
0.051,0.0509798,0.000124542,0.998795,-0.488177
0.052,0.0519783,0.000252199,0.998746,-0.49688
0.053,0.0529767,0.000284651,0.998692,-0.505533
0.054,0.053974,0.000498285,0.998641,-0.514136
0.055,0.0549738,0.000348473,0.998588,-0.522687
0.056,0.0559719,0.00042496,0.998533,-0.531186
0.057,0.0569716,0.000210889,0.998477,-0.539632
0.058,0.0579696,0.000319157,0.99842,-0.548024
0.059,0.0589678,0.000351531,0.998362,-0.556361
0.06,0.0599656,0.00043259,0.998302,-0.564642
0.061,0.0609644,0.000361257,0.998242,-0.572867
0.062,0.0619631,0.00029152,0.998183,-0.581035
0.063,0.0629619,-6.70869e-05,0.998121,-0.589145
0.064,0.0639587,-0.000415686,0.998058,-0.597195
0.065,0.0649567,-0.000426842,0.997994,-0.605186
0.066,0.0659533,-0.000658883,0.997937,-0.613117
0.067,0.0669514,-0.000648212,0.997872,-0.620986
0.068,0.0679502,-0.000539787,0.997805,-0.628793
0.069,0.0689489,-0.000448395,0.997741,-0.636537
0.07,0.0699463,-0.000512525,0.997672,-0.644218
0.071,0.0709419,-0.000738865,0.997602,-0.651834
0.072,0.0719349,-0.00110069,0.997531,-0.659385
0.073,0.0729264,-0.00147523,0.997469,-0.66687
0.074,0.0739244,-0.00144943,0.997395,-0.674288
0.075,0.0749187,-0.00159546,0.99732,-0.681639
0.076,0.0759175,-0.00153364,0.997248,-0.688921
0.077,0.0769127,-0.00162193,0.997169,-0.696135
0.078,0.0779132,-0.00145479,0.997093,-0.703279
0.079,0.0789074,-0.00158932,0.997011,-0.710353
0.08,0.0799028,-0.00166717,0.996932,-0.717356
0.081,0.080897,-0.00180184,0.996854,-0.724287
0.082,0.0818921,-0.00187824,0.996772,-0.731146
0.083,0.0828857,-0.00200974,0.99669,-0.737931
0.084,0.0838858,-0.00187163,0.996609,-0.744643
0.085,0.0848788,-0.00202785,0.996525,-0.75128
0.086,0.0858812,-0.00176917,0.996442,-0.757843
0.087,0.0868863,-0.00127306,0.996355,-0.764329
0.088,0.0878875,-0.00087327,0.996268,-0.770739
0.089,0.0888823,-0.000997154,0.996179,-0.777072
0.09,0.0898801,-0.000839494,0.99609,-0.783327
0.091,0.0908756,-0.000897061,0.995999,-0.789504
0.092,0.091872,-0.000835928,0.995907,-0.795602
0.093,0.0928702,-0.000602223,0.99582,-0.80162
0.094,0.0938649,-0.00076011,0.995727,-0.807558
0.095,0.0948621,-0.000594473,0.995637,-0.813416
0.096,0.0958595,-0.000432753,0.995551,-0.819192
0.097,0.0968529,-0.000791284,0.995456,-0.824886
0.098,0.0978465,-0.00102564,0.995362,-0.830497
0.099,0.0988408,-0.00117126,0.99527,-0.836026
0.1,0.0998354,-0.00124977,0.995175,-0.841471
0.101,0.100831,-0.0012354,0.99508,-0.846832
0.102,0.101822,-0.00156975,0.994981,-0.852108
0.103,0.102817,-0.00159801,0.994883,-0.857299
0.104,0.103814,-0.00141349,0.99478,-0.862404
0.105,0.104807,-0.00158631,0.994676,-0.867423
0.106,0.105803,-0.0014508,0.994569,-0.872355
0.107,0.106798,-0.0014387,0.994464,-0.877201
0.108,0.107793,-0.00140437,0.994357,-0.881958
0.109,0.108785,-0.00159433,0.994251,-0.886627
0.11,0.109775,-0.00182504,0.994141,-0.891207
0.111,0.110771,-0.00171646,0.994032,-0.895699
0.112,0.111772,-0.00123537,0.993921,-0.9001
0.113,0.112755,-0.0019455,0.993808,-0.904412
0.114,0.11376,-0.00122389,0.9937,-0.908633
0.115,0.114754,-0.00125978,0.993591,-0.912764
0.116,0.115743,-0.00161047,0.993476,-0.916803
0.117,0.116735,-0.0017041,0.993359,-0.920751
0.118,0.117723,-0.00204072,0.993245,-0.924606
0.119,0.118716,-0.00203757,0.993127,-0.928369
0.12,0.11971,-0.00204239,0.993008,-0.932039
0.121,0.120685,-0.00290627,0.99289,-0.935616
0.122,0.121691,-0.00230163,0.992771,-0.939099
0.123,0.122679,-0.00257671,0.992654,-0.942489
0.124,0.123676,-0.00236641,0.992531,-0.945784
0.125,0.124664,-0.00260792,0.992411,-0.948985
0.126,0.125665,-0.00219003,0.99229,-0.95209
0.127,0.12666,-0.00200903,0.992164,-0.955101
0.128,0.127649,-0.00215862,0.992035,-0.958016
0.129,0.128648,-0.00179502,0.991911,-0.960835
0.13,0.129633,-0.00220106,0.99178,-0.963558
0.131,0.130627,-0.00204409,0.991651,-0.966185
0.132,0.131614,-0.00236503,0.991522,-0.968715
0.133,0.132601,-0.0025986,0.991392,-0.971148
0.134,0.133575,-0.00338288,0.99126,-0.973485
0.135,0.134564,-0.00345658,0.991127,-0.975723
0.136,0.135548,-0.0037582,0.990997,-0.977865
0.137,0.136539,-0.00378167,0.990862,-0.979908
0.138,0.137531,-0.0037531,0.990734,-0.981854
0.139,0.138533,-0.00334665,0.990596,-0.983701
0.14,0.139497,-0.00428455,0.990457,-0.98545
0.141,0.140492,-0.00414694,0.990318,-0.9871
0.142,0.141495,-0.00370005,0.990178,-0.988652
0.143,0.142456,-0.00471328,0.990044,-0.990105
0.144,0.143466,-0.00405947,0.989901,-0.991458
0.145,0.144455,-0.00409337,0.989758,-0.992713
0.146,0.14546,-0.00350894,0.989613,-0.993868
0.147,0.146447,-0.00359574,0.989467,-0.994924
0.148,0.14744,-0.00346118,0.989321,-0.995881
0.149,0.148432,-0.0033325,0.989173,-0.996738
0.15,0.149427,-0.0030887,0.989026,-0.997495
0.151,0.150417,-0.00307086,0.988877,-0.998152
0.152,0.151401,-0.0032729,0.988725,-0.99871
0.153,0.152397,-0.00290406,0.988573,-0.999168
0.154,0.153381,-0.00311957,0.988419,-0.999526
0.155,0.154367,-0.00325465,0.988269,-0.999784
0.156,0.155362,-0.00295398,0.988117,-0.999942
0.157,0.156352,-0.0028349,0.987963,-1
0.158,0.157336,-0.00307521,0.98781,-0.999958
0.159,0.158343,-0.00190884,0.987654,-0.999816
0.16,0.159315,-0.00292074,0.987497,-0.999574
0.161,0.160311,-0.00241527,0.987337,-0.999232
0.162,0.161308,-0.00169209,0.987177,-0.99879
0.163,0.162291,-0.00208947,0.987017,-0.998248
0.164,0.16328,-0.00190475,0.986852,-0.997606
0.165,0.164271,-0.00158378,0.986696,-0.996865
0.166,0.165255,-0.00187053,0.986533,-0.996024
0.167,0.166247,-0.0013229,0.98637,-0.995083
0.168,0.167238,-0.000530801,0.986206,-0.994043
0.169,0.168219,-0.00139238,0.986039,-0.992904
0.17,0.169198,-0.00216159,0.985877,-0.991665
0.171,0.170178,-0.00260852,0.985706,-0.990327
0.172,0.171177,-0.00144639,0.985535,-0.98889
0.173,0.172161,-0.00160817,0.985365,-0.987354
0.174,0.173149,-0.00144126,0.985194,-0.985719
0.175,0.174137,-0.00102914,0.985023,-0.983986
0.176,0.175121,-0.00116673,0.984849,-0.982154
0.177,0.176109,-0.000827432,0.984677,-0.980224
0.178,0.177088,-0.00171962,0.984507,-0.978197
0.179,0.178062,-0.00259618,0.984329,-0.976071
0.18,0.17904,-0.00302085,0.984156,-0.973848
0.181,0.180036,-0.00231447,0.983983,-0.971527
0.182,0.181021,-0.00225367,0.983803,-0.969109
0.183,0.182013,-0.00150405,0.983628,-0.966594
0.184,0.182992,-0.00199326,0.983446,-0.963983
0.185,0.183981,-0.00162745,0.983272,-0.961275
0.186,0.184959,-0.00220685,0.983089,-0.958471
0.187,0.18594,-0.00239633,0.982907,-0.955572
0.188,0.186926,-0.00216741,0.982721,-0.952576
0.189,0.187909,-0.00208742,0.982532,-0.949486
0.19,0.18889,-0.0022254,0.982346,-0.9463
0.191,0.189875,-0.00201746,0.982159,-0.94302
0.192,0.190866,-0.000981915,0.981974,-0.939645
0.193,0.191845,-0.00148582,0.981781,-0.936177
0.194,0.192826,-0.00154106,0.98159,-0.932615
0.195,0.193803,-0.00199336,0.981396,-0.92896
0.196,0.194786,-0.00216498,0.981216,-0.925212
0.197,0.195769,-0.00220611,0.981032,-0.921371
0.198,0.196757,-0.00147095,0.980838,-0.917438
0.199,0.197735,-0.00182003,0.980644,-0.913413
0.2,0.198718,-0.00160897,0.980448,-0.909297
0.201,0.199699,-0.00180288,0.980258,-0.905091
0.202,0.20067,-0.00262297,0.980058,-0.900793
0.203,0.201663,-0.00137217,0.979861,-0.896406
0.204,0.202645,-0.00107381,0.979663,-0.891929
0.205,0.203626,-0.00107603,0.979465,-0.887362
0.206,0.204608,-0.000540933,0.979263,-0.882707
0.207,0.205588,-0.000330874,0.979059,-0.877964
0.208,0.206565,-0.000715869,0.97885,-0.873133
0.209,0.207547,-0.000438843,0.978653,-0.868215
0.21,0.208526,9.83817e-05,0.978445,-0.863209
0.211,0.209505,-0.000311979,0.978239,-0.858118
0.212,0.210483,-0.000559588,0.97803,-0.85294
0.213,0.211461,-0.000161336,0.977819,-0.847678
0.214,0.212437,-0.000933345,0.977608,-0.84233
0.215,0.213417,-0.000153619,0.977396,-0.836899
0.216,0.214395,-0.000345971,0.977188,-0.831383
0.217,0.215373,2.49738e-05,0.976975,-0.825785
0.218,0.216347,0.0011302,0.97676,-0.820104
0.219,0.217327,0.000549931,0.976546,-0.814341
0.22,0.218302,0.000628042,0.976327,-0.808496
0.221,0.219276,0.00130513,0.976108,-0.802571
0.222,0.220252,0.00133506,0.97589,-0.796565
0.223,0.22123,0.000895923,0.975669,-0.79048
0.224,0.222206,0.000727778,0.975449,-0.784316
0.225,0.223181,0.000941531,0.975226,-0.778073
0.226,0.224158,5.9314e-05,0.975001,-0.771753
0.227,0.225133,-0.000167649,0.974778,-0.765355
0.228,0.226108,-0.000148779,0.974553,-0.758881
0.229,0.227082,0.000323568,0.974328,-0.752331
0.23,0.228058,4.07194e-05,0.974105,-0.745705
0.231,0.22903,0.000902207,0.973878,-0.739005
0.232,0.230005,0.000515408,0.973649,-0.732231
0.233,0.230979,-0.000244557,0.973418,-0.725384
0.234,0.23195,0.00119426,0.973187,-0.718465
0.235,0.232924,0.00100633,0.972955,-0.711473
0.236,0.233898,0.000580578,0.972721,-0.704411
0.237,0.23487,0.00123555,0.972493,-0.697278
0.238,0.235844,-0.000719999,0.972258,-0.690075
0.239,0.236815,-0.00110928,0.972022,-0.682803
0.24,0.237787,-0.00111674,0.971786,-0.675463
0.241,0.238759,-0.00107262,0.971549,-0.668056
0.242,0.239725,-0.00201241,0.971311,-0.660581
0.243,0.240699,-0.00178491,0.971077,-0.653041
0.244,0.241667,-0.00219664,0.970837,-0.645435
0.245,0.242637,-0.00232031,0.970594,-0.637765
0.246,0.243612,-0.00178032,0.97035,-0.630031
0.247,0.244582,-0.00178869,0.970109,-0.622234
0.248,0.245555,-0.00136539,0.969865,-0.614374
0.249,0.246524,-0.00152568,0.969618,-0.606454
0.25,0.247493,-0.00156347,0.969372,-0.598472
0.251,0.248452,-0.00286172,0.969128,-0.590431
0.252,0.249429,-0.00217293,0.968881,-0.582331
0.253,0.250399,-0.00206479,0.968633,-0.574172
0.254,0.251359,-0.0029443,0.968383,-0.565956
0.255,0.252326,-0.0031159,0.968135,-0.557684
0.256,0.253281,-0.00401339,0.967882,-0.549355
0.257,0.254254,-0.0037154,0.967628,-0.540972
0.258,0.255217,-0.00396288,0.967371,-0.532535
0.259,0.256182,-0.00407797,0.967116,-0.524044
0.26,0.257134,-0.00494841,0.96686,-0.515501
0.261,0.258086,-0.00570041,0.966607,-0.506907
0.262,0.259047,-0.00595499,0.966348,-0.498262
0.263,0.26001,-0.00615963,0.966094,-0.489567
0.264,0.260972,-0.00633828,0.965834,-0.480823
0.265,0.261955,-0.00561746,0.965574,-0.472031
0.266,0.262931,-0.00509682,0.965314,-0.463191
0.267,0.263883,-0.00572891,0.965051,-0.454306
0.268,0.264848,-0.00576966,0.964787,-0.445375
0.269,0.265781,-0.0070218,0.964519,-0.436399
0.27,0.26671,-0.00832236,0.964258,-0.42738
0.271,0.26766,-0.00875839,0.963991,-0.418318
0.272,0.268601,-0.0095034,0.963732,-0.409214
0.273,0.269523,-0.0106116,0.963464,-0.400069
0.274,0.270535,-0.00933029,0.963196,-0.390885
0.275,0.271501,-0.00922173,0.962925,-0.381661
0.276,0.272483,-0.00866194,0.962654,-0.372399
0.277,0.273385,-0.0104261,0.962386,-0.3631
0.278,0.274401,-0.0089903,0.96212,-0.353764
0.279,0.275373,-0.00867215,0.961846,-0.344393
0.28,0.276322,-0.00909158,0.961572,-0.334988
0.281,0.27728,-0.0091854,0.961295,-0.325549
0.282,0.278191,-0.0105999,0.961017,-0.316078
0.283,0.279157,-0.0104435,0.960738,-0.306575
0.284,0.280132,-0.0100557,0.960459,-0.297041
0.285,0.28106,-0.0109276,0.960178,-0.287478
0.286,0.282047,-0.0101951,0.959896,-0.277886
0.287,0.28299,-0.0106788,0.959615,-0.268266
0.288,0.283919,-0.0114658,0.959332,-0.258619
0.289,0.28487,-0.0116493,0.959046,-0.248947
0.29,0.285831,-0.0116037,0.958764,-0.239249
0.291,0.286784,-0.011714,0.958473,-0.229528
0.292,0.287724,-0.0122535,0.958197,-0.219784
0.293,0.288685,-0.0121807,0.957911,-0.210017
0.294,0.289695,-0.0108884,0.957622,-0.20023
0.295,0.290645,-0.0111211,0.957338,-0.190423
0.296,0.291599,-0.01122,0.957048,-0.180596
0.297,0.29258,-0.0105713,0.956757,-0.170752
0.298,0.293534,-0.0106665,0.956466,-0.16089
0.299,0.294522,-0.00976983,0.956172,-0.151013
0.3,0.29547,-0.0100145,0.955878,-0.14112
0.301,0.296442,-0.00953274,0.955583,-0.131213
0.302,0.297386,-0.00987219,0.955287,-0.121293
0.303,0.298357,-0.009403,0.954989,-0.111361
0.304,0.299381,-0.00694805,0.954697,-0.101418
0.305,0.300344,-0.00659844,0.9544,-0.0914646
0.306,0.30129,-0.00705545,0.954104,-0.0815022
0.307,0.302253,-0.00669461,0.953805,-0.0715315
0.308,0.303217,-0.00619528,0.953503,-0.0615537
0.309,0.304168,-0.00628577,0.953197,-0.0515698
0.31,0.305116,-0.00657778,0.952895,-0.0415807
0.311,0.306084,-0.00579146,0.952589,-0.0315874
0.312,0.307033,-0.00600715,0.952285,-0.021591
0.313,0.307965,-0.00703987,0.951982,-0.0115924
0.314,0.308937,-0.00610488,0.951676,-0.00159265
0.315,0.309832,-0.00852906,0.95137,0.00840725
0.316,0.310812,-0.0075146,0.951067,0.0184063
0.317,0.311792,-0.00635342,0.950765,0.0284035
0.318,0.312732,-0.00695049,0.950457,0.0383979
0.319,0.313696,-0.00632991,0.950148,0.0483884
0.32,0.314671,-0.00501497,0.949836,0.0583741
0.321,0.315615,-0.00528137,0.949517,0.068354
0.322,0.316562,-0.00543213,0.949202,0.078327
0.323,0.31749,-0.0065511,0.948886,0.0882922
0.324,0.318456,-0.0057931,0.948575,0.0982486
0.325,0.319401,-0.00609193,0.948262,0.108195
0.326,0.320351,-0.00600017,0.947944,0.118131
0.327,0.321311,-0.00534018,0.947623,0.128055
0.328,0.322265,-0.00500778,0.947305,0.137966
0.329,0.323225,-0.00422001,0.946986,0.147863
0.33,0.324177,-0.00385884,0.946664,0.157746
0.331,0.325141,-0.00194138,0.946342,0.167612
0.332,0.326078,-0.00313282,0.946017,0.177462
0.333,0.327015,-0.00393256,0.945689,0.187295
0.334,0.327963,-0.0037167,0.945363,0.197108
0.335,0.328911,-0.00347049,0.945035,0.206902
0.336,0.329859,-0.00325669,0.944707,0.216675
0.337,0.330813,-0.0021969,0.944379,0.226427
0.338,0.331752,-0.00302021,0.944052,0.236155
0.339,0.332677,-0.00467269,0.943719,0.245861
0.34,0.333639,-0.00307367,0.943387,0.255541
0.341,0.334586,-0.00265727,0.943054,0.265196
0.342,0.33553,-0.00247452,0.942717,0.274825
0.343,0.336473,-0.00250014,0.942382,0.284426
0.344,0.337424,-0.000468462,0.942046,0.293998
0.345,0.338367,-2.17644e-05,0.94171,0.303542
0.346,0.339309,0.000149787,0.941372,0.313054
0.347,0.340249,-0.000857537,0.941033,0.322536
0.348,0.341187,-0.00163182,0.940692,0.331985
0.349,0.342129,-0.00173836,0.940354,0.341401
0.35,0.34306,-0.00313543,0.940013,0.350783
0.351,0.344002,-0.00289828,0.939671,0.36013
0.352,0.344952,-0.0012397,0.939327,0.369441
0.353,0.345889,-0.0017008,0.938983,0.378715
0.354,0.346831,-0.00117336,0.938638,0.387951
0.355,0.34777,0.000247262,0.938288,0.397148
0.356,0.348708,0.00107708,0.937943,0.406306
0.357,0.349639,0.00240491,0.937593,0.415423
0.358,0.350557,0.00447902,0.937246,0.424498
0.359,0.351487,0.00501478,0.936896,0.433531
0.36,0.352434,0.00422031,0.936544,0.44252
0.361,0.353376,0.00388373,0.936194,0.451466
0.362,0.354306,0.00436942,0.93584,0.460366
0.363,0.355253,0.00349016,0.935488,0.46922
0.364,0.356196,0.00257999,0.935134,0.478027
0.365,0.357132,0.00259758,0.934779,0.486787
0.366,0.358057,0.00373933,0.934423,0.495497
0.367,0.358989,0.00388343,0.934062,0.504159
0.368,0.359921,0.00408486,0.933705,0.512769
0.369,0.360864,0.00304455,0.933343,0.521329
0.37,0.361792,0.00398093,0.932991,0.529836
0.371,0.36272,0.00438128,0.932629,0.538291
0.372,0.363656,0.00401312,0.932263,0.546691
0.373,0.364584,0.00439154,0.931901,0.555037
0.374,0.36552,0.00408726,0.931538,0.563327
0.375,0.366467,0.00239998,0.931172,0.571561
0.376,0.367403,0.00143781,0.930806,0.579738
0.377,0.368336,0.00111733,0.93044,0.587857
0.378,0.369263,0.00192996,0.930072,0.595917
